beauty,아름다움|미인|장점
sex,성별|성
goodbye,안녕|작별|이별
vacate,비우다|떠나다
responsible,책임이 있는|책임감 있는
parade,퍼레이드|행진|과시하다
distract,산만하게 하다|주의를 돌리다|혼란시키다
leave,떠나다|남기다|휴가
thing,물건|것|일
pig,돼지|탐욕스러운 사람
inn,여관|선술집
lend,빌려주다|대여하다|제공하다
sour,신|시큼한
reputation,명성|평판
wealth,부|재산|풍부함
sharp,날카로운|급격한|뚜렷한
shore,해안|물가
attempt,시도하다|노력하다|시도
pain,고통|아픔|고생
sick,아픈|병든
rear,뒤쪽|후방|기르다
contest,경쟁|대회|이의를 제기하다
vague,모호한|희미한
mouse,쥐|마우스
fall,떨어지다|가을|쓰러지다
launch,발사하다|시작하다|출시
debt,빚|부채|의무
program,프로그램|계획|진행하다
dog,개|괴롭히다
else,다른|그렇지 않으면|추가로
psychology,심리학
appear,나타나다|보이다|출연하다
tennis,테니스
season,계절|시즌|양념하다
amount,양|금액|총계
insert,삽입하다|넣다|끼워넣다
stimulate,자극하다|활성화시키다
vertical,수직의|세로의
automatic,자동의|무의식적인|기계적인
beg,구걸하다|간청하다|용서를 빌다