alert,경계|경고|민첩한
rocket,로켓|로켓처럼 솟아오르다
concrete,구체적인|콘크리트|실제의
draft,초안|초안을 작성하다
wreck,난파선|잔해|파괴하다
include,포함하다|들어있다|함유하다
stairs,계단
ambulance,구급차|응급차|앰뷸런스
struggle,고군분투하다|투쟁|노력
native,토착의|원주민|모국어
crop,작물|수확|자르다
bad,나쁜|못한|해로운
cancel,취소하다|상쇄하다|무효화하다
weapon,무기
eyebrow,눈썹|이마
correct,올바른|수정하다|정확한
chill,추위|냉각시키다|오한
difficult,어려운|곤란한|까다로운
all,모든|전체|완전히
gamble,도박하다|위험을 감수하다|도박
moist,습한|촉촉한|습기
valley,계곡|골짜기
holy,신성한|거룩한|종교적인
emphasis,강조|중점|강세
aid,도움|원조|보조
eat,먹다|식사하다|부식시키다
law,법|법률|규칙
supplement,보충하다|보충물|추가
near,가까운|근처|거의
magnet,자석|자력|매력적인
calm,고요한|차분한|진정시키다
probable,있을 법한|개연성 있는
rescue,구조하다|구출|구조
sheet,시트|종이 한 장|시트지
quite,꽤|상당히|완전히
succeed,성공하다|뒤를 잇다
clue,단서|실마리|힌트
flourish,번영하다|무성하다|과시하다
dead,죽은|무생물의|완전히
ant,개미|작은 것|근면한 사람