province,지방|주|도
greet,인사하다|환영하다|마주하다
tree,나무
on,~위에|~에|~로
cost,비용|값|들다
anxiety,불안|걱정|열망
bar,막대|바|금지하다
deserve,받을 만하다|가치가 있다|당연하다
score,점수|득점|악보
eye,눈|시선|구멍
promise,약속하다|약속
flower,꽃|개화하다|정수
hill,언덕|구릉|작은 산
pocket,주머니|포켓|주머니에 넣다
wedding,결혼식
grateful,감사하는|고마운|은혜를 아는
barrier,장벽|방해물|경계
terrace,테라스|야외석
discipline,훈련|규율|징계하다
reform,개혁|개선하다
contribute,기여하다|기부하다|공헌하다
prize,상|상품|소중히 하다
upper,위쪽의|상의
era,시대|연대|시기
kick,차다|킥|제거하다
electric,전기의|전기
comment,댓글|논평|의견
lease,임대하다|임대|계약
questionnaire,설문지
win,이기다|승리하다
profit,이익|수익|이윤
tight,꽉 조이는|단단히
disappoint,실망시키다|좌절시키다|기대를 저버리다
import,수입하다|중요한|의미
eight,여덟|8
clause,조항|절|문장
what,무엇|어떤 것
favor,호의|편애|지지하다
dark,어두운|검은|어둠
lead,이끌다|납|선도하다