rival,경쟁자|경쟁하는
sight,시력|광경|시야
revenge,복수|앙갚음
formula,공식|처방|방법
which,어느 것|어떤 것
heal,치료하다|낫다|회복하다
oral,구두의|입의|구강의
board,판|이사회|탑승하다
forbid,금지하다|막다|방해하다
beast,짐승|야수|비인간적인 사람
sell,팔다|판매하다
early,이른|초기의|일찍
trick,속임수|묘기|속이다
either,어느 쪽이든|~도
offer,제공하다|제안
pat,토닥이다|가볍게 치다|토닥임
wood,나무|숲
spirit,정신|영혼|사기
bay,만|베이|짖다
week,주|일주일
motor,모터|엔진|자동차
bulk,대량|부피|대부분
manage,관리하다|경영하다|해내다
forget,잊다|무시하다|빠뜨리다
county,군|카운티|지역
fat,뚱뚱한|지방|기름진
project,계획|과제|투영하다
fuse,융합하다|퓨즈|결합하다
confront,직면하다|대결하다|마주하다
latter,후자의|나중의|최근의
tea,차
dawn,새벽|여명|시작
mill,제분소|밀|공장
patent,특허|특허권|명백한
curse,저주|욕설|저주하다
between,~사이에|~중에|~가운데
love,사랑|좋아하다
distance,거리|간격|멀리하다
inquire,문의하다|조사하다|묻다
otherwise,그렇지 않으면|다른 방법으로|그 외에는