grass,풀|잔디|대마초
waste,낭비하다|쓰레기|폐기물
depend,의존하다|따르다|믿다
get,얻다|가져오다|이해하다
glare,눈부시다|노려보다|강한 빛
pet,애완동물|쓰다듬다
sad,슬픈|서글픈
cruise,크루즈|순항하다|여행
state,상태|국가|주|진술하다
contain,포함하다|담다|억제하다
tall,키 큰|높은
access,접근|접근권|도달
often,자주|흔히|가끔
conclude,결론내리다|끝내다|체결하다
admit,인정하다|입학시키다|허용하다
tip,팁|끝|조언
folk,사람들|민속의|가족
even,평평한|심지어|동등한
defeat,패배시키다|이기다|실패
hotel,호텔|여관
hero,영웅|주인공
basketball,농구|농구공
universe,우주|만물
microwave,전자레인지|마이크로웨이브
property,재산|소유물|특성
prevail,만연하다|우세하다|이기다
agency,기관|대행사|대리점
dinner,저녁식사|디너|만찬
tale,이야기|전설
border,경계|테두리|인접하다
charge,요금|책임|충전하다
symphony,교향곡
fix,고치다|고정하다|준비하다
boot,부츠|신발|부팅
insect,곤충|벌레|작은 것
mild,온화한|약한|부드러운
spread,퍼지다|확산시키다|펼치다
foreign,외국의|낯선|외래의
cloud,구름|클라우드|흐리게 하다
sweater,스웨터