not,~않다|아니|부정
could,할 수 있었다|~할 수도 있다|~할 수 있을 것이다
dialogue,대화|대화체
late,늦은|후기의|고인의
vessel,선박|용기|혈관
standard,기준|표준|표준의
scare,겁주다|놀라게 하다|공포
worship,숭배|예배|숭배하다
clerk,사무원|점원|서기
pardon,용서|사면|실례합니다
comedy,코미디|희극|유쾌한 일
lay,놓다|알을 낳다|평평한
question,질문|문제|의문을 제기하다
mount,오르다|산|장착하다
court,법정|코트|궁정
person,사람|개인|인물
cry,울다|외치다|눈물
oppose,반대하다|대항하다|저항하다
item,항목|아이템|품목
scarce,부족한|희귀한
destroy,파괴하다|멸망시키다|완전히 망가뜨리다
drama,드라마|연극|극적인 일
explain,설명하다|해명하다|이유를 말하다
rise,오르다|증가하다|상승
shoe,신발|구두
final,최종의|마지막|결승
virtue,미덕|장점|덕
keep,유지하다|지키다|보관하다
nowadays,요즘|현재|오늘날
factor,요소|인수|요인
swallow,삼키다|제비
hurry,서두르다|급하다|서둘러
tube,튜브|관
suspect,의심하다|용의자
bargain,거래|흥정|특가품
cling,달라붙다|고수하다|집착하다
prove,증명하다|입증하다
rude,무례한|퉁명스러운|거친
jeans,청바지|진|바지
sort,종류|분류하다|정렬하다