cake,케이크|과자|덩어리
already,이미|벌써
pass,지나가다|통과하다|합격하다
dwell,거주하다|생각하다|머물다
torture,고문|고문하다
dose,용량|복용량|투여하다
gesture,제스처|몸짓|표현
branch,가지|지점|분과
site,장소|부지|사이트
ready,준비된|기꺼이 하는
economy,경제|절약|경제학
vanish,사라지다|소멸하다
little,작은|조금|어린
ancient,고대의|오래된|고풍의
lie,거짓말하다|눕다|위치
sector,부문|분야|영역
minor,미성년자|부차적인|작은
golf,골프
cancer,암|악성종양|해로운 것
gender,성별|문법적 성|성
field,들판|분야|경기장
jog,조깅하다|살짝 밀다|천천히 가다
liquid,액체|유동성의
persist,지속하다|고집하다|계속하다
tour,여행|관광
effect,효과|영향|실행하다
starve,굶주리다|굶어 죽다
strip,벗기다|가느다란 조각|스트립
due,예정된|만기가 된|당연한
pine,소나무|그리워하다
left,왼쪽|남은|떠난
bite,물다|씹다|물린 자국
communist,공산주의자|공산주의의|공산당원
baby,아기|유아|어린 것
accompany,동반하다|따르다|반주하다
install,설치하다|임명하다
stem,줄기|어간|유래하다
moral,도덕적인|교훈|정신적인
daughter,딸|자식|여자
university,대학교
