excuse,변명|용서하다|면제
bully,깡패|괴롭히다|협박하다
luxury,사치|고급품|호화로운
consider,고려하다|생각하다|간주하다
host,주인|진행자|숙주
treasure,보물|소중히 하다
studio,스튜디오|작업실
introduce,소개하다|도입하다|시작하다
choose,선택하다|고르다|결정하다
defend,방어하다|변호하다|보호하다
likewise,마찬가지로|또한|같이
begin,시작하다|시작되다|처음
congratulate,축하하다|기뻐하다
towel,수건|타월
hall,홀|복도|회관
agent,대리인|요원|제제
buzz,윙윙거리다|소문|흥분
athlete,운동선수|육상선수|체육인
hate,싫어하다|증오|혐오
contrary,반대의|정반대|반대로
of,~의|~에서|~에 관한
alarm,경보|경고|불안
ache,아프다|고통|그리워하다
honest,정직한|솔직한|공정한
curve,곡선|굽이|구부러지다
suburb,교외|외곽
source,원천|출처|근원
tender,부드러운|상냥한|입찰
lady,여성|부인|귀부인
billion,십억|억만|엄청난 수
cook,요리하다|요리사|요리
plot,음모|줄거리|계획하다
fault,결함|잘못|단층
laboratory,실험실|연구소|랩
kill,죽이다|제거하다|소멸시키다
old,오래된|늙은|이전의
condition,조건|상태|환경
boost,부양시키다|촉진하다|도움
angel,천사|천사같은 사람|보호자
cotton,면|목화|면직물