study,공부하다|연구|서재
finite,유한한|제한된|한정된
pork,돼지고기
recognize,인정하다|알아보다|식별하다
nut,견과|너트|미친
terror,테러|공포
death,죽음|사망|종료
fold,접다|겹|배수
intent,의도|목적|의지
status,상태|지위|현황
gather,모으다|수집하다|모이다
frog,개구리|프랑스인
character,성격|인물|문자
shape,모양|형태|형성하다
wound,상처|부상|상처 입히다
absurd,터무니없는|우스꽝스러운|말이 안 되는
finger,손가락|지시하다|터치하다
hut,오두막|막사|작은 집
block,막다|블록|구역
shout,외치다|소리치다|외침
home,집|고향|본국
demand,요구하다|수요|요구
forecast,예보|예측하다|전망
comprise,포함하다|구성하다|이루다
currency,통화|화폐|유통
nothing,아무것도~않다|없음|하찮은 것
letter,편지|문자|서한
lot,많이|땅|운명
shelter,피난처|보호소|보호하다
attention,주의|관심|배려
lamp,램프|등|조명
beside,~옆에|~곁에|~와 비교하여
sense,감각|느낌|의미
root,뿌리|근원|정착하다
proportion,비율|부분|균형
gear,기어|장비|준비하다
red,빨간|빨간색
when,언제|~할 때
murder,살인|살인하다|완전히 망가뜨리다
hot,뜨거운|매운|인기 있는