apple,사과
bag,가방
banana,바나나
bear,곰
big,큰
birthday,생일
book,책
bye,안녕
can,할 수 있다
cat,고양이
chair,의자
chicken,닭
close,닫다
cold,추운
come,오다
cow,소
dad,아빠
dance,춤추다
desk,책상
dog,개
door,문
down,아래로
draw,그리다
everyone,모두
eye,눈
face,얼굴
fish,물고기
fly,날다
for,~을 위해
glove,장갑
go,가다
grapes,포도
great,훌륭한
hand,손
happy,행복한
have,가지다
hello,안녕하세요
help,돕다
here,여기
hi,안녕
how,어떻게
hungry,배고픈
it,그것
jump,뛰다
kangaroo,캥거루
like,좋아하다
lion,사자
look,보다
lunch,점심
make,만들다
many,많은
mom,엄마
monkey,원숭이
mouth,입
name,이름
no,아니다
nose,코
OK,좋아요
on,~위에
open,열다
orange,오렌지색|오렌지
outside,밖에
pants,바지
pear,배
pen,펜
pencil,연필
pig,돼지
please,제발
point,가리키다
put,놓다
ruler,자
run,달리다
shoe,신발
sit,앉다
skate,스케이트 타다
ski,스키 타다
small,작은
snow,눈
snowman,눈사람
sorry,미안한
stand,서다
sure,확실한
sweater,스웨터
swim,수영하다
thank,감사하다
that,저것
this,이것
time,시간
too,또한
touch,만지다
up,위로
wait,기다리다
wash,씻다
welcome,환영하다
window,창문
what,무엇
yes,예
you,너|당신
eat,먹다
milk,우유
home,집
father,아버지
mother,어머니
friend,친구
play,놀다
see,보다
say,말하다
day,날
night,밤
water,물
tree,나무
flower,꽃
walk,걷다
sleep,자다
sing,노래하다
read,읽다
write,쓰다
talk,이야기하다
listen,듣다
study,공부하다
school,학교
teacher,선생님
student,학생
classroom,교실
bus,버스
car,자동차
bike,자전거
train,기차
ship,배
airplane,비행기
house,집
room,방
bed,침대
table,테이블
desk,책상
color,색깔
red,빨간색
blue,파란색
green,초록색
yellow,노란색
white,흰색
black,검은색
purple,보라색
pink,분홍색
brown,갈색
gray,회색
one,하나
two,둘
three,셋
four,넷
five,다섯
six,여섯
seven,일곱
eight,여덟
nine,아홉
ten,열
zero,영
hello,안녕
goodbye,안녕히
morning,아침
afternoon,오후
evening,저녁
today,오늘
tomorrow,내일
yesterday,어제
week,주
month,월
year,년
summer,여름
winter,겨울
spring,봄
fall,가을
hot,더운
cold,추운
warm,따뜻한
cool,시원한
rain,비
sun,태양
wind,바람
cloud,구름
sky,하늘
star,별
moon,달
happy,행복한
sad,슬픈
angry,화난
scared,무서운
funny,재미있는
kind,친절한
nice,멋진
bad,나쁜
new,새로운
old,오래된
young,어린
beautiful,아름다운
ugly,못생긴
strong,강한
weak,약한
fast,빠른
slow,느린
long,긴
short,짧은
tall,키가 큰
heavy,무거운
light,가벼운
clean,깨끗한
dirty,더러운
full,가득 찬
empty,빈
hard,단단한
soft,부드러운
loud,시끄러운
quiet,조용한
