party,파티
cake,케이크
ice cream,아이스크림
candy,사탕
cookie,쿠키
pizza,피자
burger,햄버거
chicken,닭|닭고기
fish,물고기|생선
meat,고기
vegetable,채소
fruit,과일
soup,수프
salad,샐러드
plate,접시
cup,컵
fork,포크
spoon,숟가락
knife,칼
fork,포크
garden,정원
farm,농장
zoo,동물원
animal,동물
bird,새
fish,물고기
mouse,쥐
rabbit,토끼
bear,곰
lion,사자
tiger,호랑이
elephant,코끼리
monkey,원숭이
cow,소
pig,돼지
sheep,양
horse,말
duck,오리
frog,개구리
snake,뱀
insect,곤충
ant,개미
bee,벌
fly,파리|날다
spider,거미
world,세계
country,나라
city,도시
village,마을
town,읍|소도시
place,장소
here,여기
there,저기
up,위로
down,아래로
in,안에
out,밖에
on,위에
under,아래에
near,가까이에
far,멀리
left,왼쪽의|왼쪽
right,오른쪽의|오른쪽
straight,곧은
around,주위에
between,사이에
behind,뒤에
front,앞
next to,옆에
begin,시작하다
start,시작하다
finish,끝내다
end,끝나다|끝
open,열다|열린
close,닫다
stop,멈추다
wait,기다리다
help,돕다|도움
ask,묻다|요청하다
answer,대답하다|답
call,부르다|전화하다
show,보여주다|쇼
give,주다
take,가져가다|데려가다
buy,사다
sell,팔다
pay,지불하다
find,찾다
lose,잃어버리다
win,이기다
miss,놓치다|그리워하다
bring,가져오다
carry,나르다
drive,운전하다
ride,타다
wear,입다|착용하다
wash,씻다
clean,청소하다|깨끗한
cook,요리하다
bake,굽다
fix,고치다
make,만들다
build,짓다|건설하다
create,창조하다
invent,발명하다
know,알다
think,생각하다
believe,믿다
remember,기억하다
forget,잊다
understand,이해하다
learn,배우다
teach,가르치다
smart,똑똑한
clever,영리한
busy,바쁜
free,자유로운|한가한
tired,피곤한
sick,아픈
well,잘|건강한
kind,친절한|종류
polite,공손한
rude,무례한
brave,용감한
afraid,두려워하는
strong,강한
weak,약한
loud,시끄러운
quiet,조용한
fast,빠른
slow,느린
heavy,무거운
light,가벼운|빛
easy,쉬운
difficult,어려운
hard,어려운|열심히
true,사실인|진실
false,거짓인
right,옳은|오른쪽
wrong,틀린
same,같은
different,다른
many,많은
much,많은
few,적은
little,적은|작은
all,모두
some,몇몇의|일부
any,어떤
every,모든
who,누구
what,무엇
where,어디에
when,언제
why,왜
how,어떻게|얼마나
me,나를|나에게
you,너|당신
he,그
she,그녀
it,그것
we,우리
they,그들|그것들
my,나의
your,너의|당신의
his,그의
her,그녀의
its,그것의
our,우리의
their,그들의|그것들의
mine,나의 것
yours,너의 것|당신의 것
hers,그녀의 것
ours,우리의 것
theirs,그들의 것
this,이것
that,저것
these,이것들
those,저것들
and,그리고
but,그러나
or,또는|~이거나
so,그래서
because,때문에
if,만약 ~라면
before,전에
after,후에
while,~하는 동안에
since,~이래로|~때문에
until,~까지
with,~와 함께
without,~없이
at,~에|~에서
by,~에 의해|~옆에
for,~을 위해|~동안
from,~로부터
of,~의
to,~로|~에게
about,~에 대하여
over,~위에|~넘어
