dance,춤
art,예술
sport,스포츠
game,게임
hobby,취미
travel,여행하다|여행
trip,여행
visit,방문하다
place,장소
city,도시
country,나라
world,세계
map,지도
address,주소
direction,방향
north,북쪽
south,남쪽
east,동쪽
west,서쪽
weather,날씨
season,계절
spring,봄
summer,여름
autumn,가을
fall,가을
winter,겨울
rainy,비가 오는
sunny,화창한
cloudy,흐린
windy,바람 부는
storm,폭풍
thunder,천둥
lightning,번개
degree,정도|도
temperature,온도
air,공기
fire,불
earth,지구|흙
stone,돌
metal,금속
wood,나무|목재
glass,유리
plastic,플라스틱
rubber,고무
cloth,천|직물
leather,가죽
material,재료|물질
thing,것|물건
object,물체
tool,도구
machine,기계
engine,엔진
motor,모터
wire,철사|전선
nail,못|손톱
screw,나사
pipe,파이프|관
rope,밧줄
chain,사슬|체인
lock,자물쇠
key,열쇠
handle,손잡이|다루다
wheel,바퀴
tire,타이어
fuel,연료
gas,가스|휘발유
electricity,전기
power,힘|전력
energy,에너지
light,빛|가벼운
dark,어두운
color,색깔
sound,소리
smell,냄새|냄새 맡다
taste,맛|맛보다
touch,만지다|촉감
feel,느끼다
sense,감각
emotion,감정
feeling,느낌
anger,분노
fear,두려움
joy,기쁨
sadness,슬픔
surprise,놀라움
calm,차분한
nervous,초조한
excited,흥분된
bored,지루한
tired,피곤한
sleepy,졸린
hungry,배고픈
thirsty,목마른
pain,고통
hurt,다치게 하다|아픈
sore,아픈|쓰린
heal,낫다|치유하다
medicine,약
health,건강
life,삶|생명
death,죽음
born,태어난
die,죽다
live,살다
grow,자라다
change,변화하다|변화
move,움직이다|이사하다
run,달리다
walk,걷다
jump,뛰다
fly,날다
swim,수영하다
drive,운전하다
ride,타다
travel,여행하다
come,오다
go,가다
stay,머무르다
wait,기다리다
hurry,서두르다
slow,느린
fast,빠른
quick,빠른
busy,바쁜
free,자유로운
time,시간
minute,분
hour,시간
day,날
week,주
month,월
year,년
today,오늘
tomorrow,내일
yesterday,어제
now,지금
later,나중에
soon,곧
early,일찍
late,늦은
always,항상
never,결코 ~않다
often,자주
sometimes,때때로
usually,보통
once,한 번
twice,두 번
again,다시
next,다음의
last,마지막의|지난
first,첫 번째의
second,두 번째의
third,세 번째의
many,많은
few,적은
much,많은
little,적은
all,모두
some,일부|몇몇의
any,어떤
every,모든
other,다른
another,또 다른
together,함께
alone,혼자
with,함께
without,~없이
before,전에
after,후에
during,~동안에
while,~하는 동안
since,~이래로|~때문에
until,~까지
from,~로부터
to,~로
at,~에
in,~안에
on,~위에
under,~아래에
over,~위에|~넘어
below,~아래에
above,~위에
near,가까이에
far,멀리
across,~을 가로질러
through,~을 통하여
around,주위에
between,~사이에
behind,~뒤에
front,앞
inside,안에
outside,밖에
up,위로
down,아래로
straight,곧장
left,왼쪽
right,오른쪽
home,집|집으로
away,멀리
back,뒤로|다시
