here,여기
there,저기
why,왜
how,어떻게|얼마나
when,언제
where,어디에
what,무엇
who,누구
whose,누구의
which,어느 것
if,만약 ~라면
so,그래서
because,~때문에
but,그러나
or,또는
and,그리고
me,나를|나에게
you,너|당신
he,그
she,그녀
it,그것
we,우리
they,그들|그것들
my,나의
your,너의|당신의
his,그의
her,그녀의
its,그것의
our,우리의
their,그들의|그것들의
mine,나의 것
yours,너의 것|당신의 것
hers,그녀의 것
ours,우리의 것
theirs,그들의 것
this,이것
that,저것
these,이것들
those,저것들
and,그리고
but,그러나
or,또는|~이거나
so,그래서
because,때문에
if,만약 ~라면
before,전에
after,후에
while,~하는 동안에
since,~이래로|~때문에
until,~까지
with,~와 함께
without,~없이
at,~에|~에서
by,~에 의해|~옆에
for,~을 위해|~동안
from,~로부터
of,~의
to,~로|~에게
about,~에 대하여
over,~위에|~넘어
through,~을 통하여
among,~사이에
plus,더하기
minus,빼기
times,곱하기
divided by,~으로 나누어진
cent,센트
dollar,달러
won,원 (화폐)
price,가격
cost,비용|~의 비용이 들다
spend,소비하다|쓰다
save,저축하다|절약하다
rich,부유한
poor,가난한
job,직업
work,일하다|일
office,사무실
boss,상사
worker,노동자|일꾼
meeting,회의
holiday,휴일|방학
vacation,휴가|방학
rest,휴식|쉬다
break,휴식|깨다
dream,꿈|꿈꾸다
hope,희망|바라다
wish,소망|바라다
future,미래
past,과거
present,현재|선물
suddenly,갑자기
finally,마침내
always,항상
usually,보통
often,자주
sometimes,때때로
never,결코 ~않다
again,다시
only,오직|단지
also,또한
too,또한|너무
very,매우
so,매우|그래서
just,단지|막
maybe,아마도
perhaps,아마도
sure,확실한
certain,확실한
possible,가능한
impossible,불가능한
ready,준비된
true,사실인
real,진짜의
fake,가짜의
empty,빈
full,가득 찬
heavy,무거운
light,가벼운
smooth,부드러운
rough,거친
soft,부드러운
hard,단단한|어려운
deep,깊은
shallow,얕은
wide,넓은
narrow,좁은
straight,곧은
curved,구부러진
round,둥근
square,사각형의
triangle,삼각형
circle,원
shape,모양
size,크기
area,지역|면적
volume,부피|음량
weight,무게
distance,거리
speed,속도
hour,시간 (60분)
minute,분
second,초
quickly,빨리
slowly,천천히
carefully,조심스럽게
easily,쉽게
loudly,시끄럽게
softly,부드럽게|조용히
happily,행복하게
sadly,슬프게
angrily,화나서
nicely,멋지게|친절하게
kindly,친절하게
well,잘
badly,나쁘게
better,더 좋은
worse,더 나쁜
best,가장 좋은
worst,가장 나쁜
more,더 많은
less,더 적은
most,가장 많은
least,가장 적은
enough,충분한
too much,너무 많은
little bit,조금
a lot,많이
something,무엇인가
nothing,아무것도 ~않다
everything,모든 것
anything,아무거나
someone,누군가
no one,아무도 ~않다
everyone,모두
anyone,누구든
somewhere,어딘가에
nowhere,어디에도 ~않다
everywhere,어디든지
anywhere,어디든
zoo,동물원
robot,로봇
magic,마법
secret,비밀의|비밀
ticket,표|티켓
pocket,주머니
ocean,대양
village,마을
museum,박물관
factory,공장
guitar,기타
piano,피아노
camera,카메라
telescope,망원경
space,우주|공간
planet,행성
rainbow,무지개
shadow,그림자
health,건강
future,미래
