avoid,피하다	
incongruous,조화롭지 않은|부조화한	
precocious,조숙한	
retort,말대꾸하다	
virtual,가상의|실질적인	
concise,간결한	
trace,흔적|추적하다	
middle,중앙의|중앙	
piquant,톡 쏘는 맛의|흥미로운	
migrate,이주하다	
unify,통합하다	
apprehension,불안|이해	
covert,은밀한|숨겨진	
mean,의미하다|비열한	
submit,제출하다|굴복하다	
avarice,탐욕	
extricate,해방시키다|탈출시키다	
offense,위반|공격	
fantasy,환상|공상	
counsel,상담|조언하다	
preclude,막다|배제하다	
visible,보이는	
refute,반박하다	
occupy,차지하다|점령하다	
tyro,초심자	
postpone,연기하다	
peculiar,특이한|독특한	
absolutely,절대적으로	
amass,모으다|축적하다	
restore,복구하다|회복시키다	
variable,변수|가변적인	
enlist,입대하다|도움을 청하다	
suspect,의심하다|용의자	
throughout,~내내|~전역에	
occupy,차지하다|점령하다	
ponder,숙고하다	
trial,시련|재판	
obsequious,아첨하는	
relative,상대적인|친척	
foundation,기초|재단	
heresy,이단|이설	
tight,꽉 조이는|단단한	
modify,수정하다	
recover,회복하다	
stifle,억누르다|숨 막히게 하다	
eliminate,제거하다	
anarchy,무정부 상태	
fatal,치명적인	
respect,존경|존중하다	
sanguine,낙관적인|혈색 좋은	
boost,증가시키다|격려	
welfare,복지	
infamous,악명 높은	
appreciate,감사하다|인정하다	
emphasize,강조하다	
practice,연습|실행하다	
denounce,비난하다	
contribute,기여하다|공헌하다	
fervent,열렬한	
exacerbate,악화시키다	
generation,세대	
intend,~할 작정이다|의도하다	
oblige,의무를 지우다|강요하다	
nuance,뉘앙스|미묘한 차이	
bargain,흥정하다|특가품	
separate,분리하다|분리된	
throughout,~내내|~전역에	
capacity,수용력|능력	
inhibit,억제하다|금지하다	
moral,도덕적인	
selective,선택적인	
harvest,수확|수확하다	
counterpart,대응 관계에 있는 사람|쌍방의 한쪽	
evidence,증거	
raise,올리다|기르다	
resolve,해결하다|결심하다	
peripatetic,돌아다니는|순회하는	
amount,양|총액	
depend,의존하다|달려있다	
static,정적인|고정된	
spread,퍼지다|확산	
transform,변형시키다	
forge,위조하다|만들다	
bias,편견|성향	
disturb,방해하다	
compatible,양립 가능한|호환되는	
busy,바쁜	
emphasize,강조하다	
jargon,전문 용어	
remain,남아있다	
mundane,세속적인|평범한	
assess,평가하다	
liberty,자유	
tacit,암묵적인|무언의	
accident,사고	
overwhelm,압도하다	
abstruse,난해한|심오한	
profound,심오한	
philanthropic,자선적인|인도적인	
palliate,완화시키다	
opulent,부유한|호화로운	
anomaly,변칙|예외	
gingerly,조심스럽게	
foment,조장하다|선동하다	
boycott,불매 운동|거부하다	
ascribe,~의 탓으로 돌리다	
shoot,쏘다|촬영하다	
reverse,뒤집다|반대	
ambiguous,애매모호한	
enamor,매료시키다	
supplement,보충|보충하다	
otherwise,그렇지 않으면	
eliminate,제거하다	
survive,생존하다	
pensive,생각에 잠긴|수심에 찬	
phlegmatic,점액질의|냉정한	
warn,경고하다	
foray,습격|짧은 여행	
weapon,무기	
tribute,찬사|헌정	
input,입력|투입	
region,지역	
exist,존재하다	
strident,귀에 거슬리는|공격적인	
wisdom,지혜	
paradox,역설	
superfluous,불필요한|여분의	
worthwhile,가치 있는	
respect,존경하다|존경	
predicament,곤경|처지	
acquire,얻다|습득하다	
necessity,필수품|필요성	
iniquity,불법|부당	
interrupt,방해하다	
predict,예측하다	
derive,~에서 얻다|유래하다	
imperative,필수적인|긴요한	
worth,~의 가치가 있는	
venue,장소|개최지	
locate,위치를 찾다|두다	
abscond,도주하다	
strategic,전략적인	
dramatically,극적으로	
entry,입구|입장	
wisdom,지혜	
license,면허|허가하다	
escape,탈출하다	
intransigent,비타협적인|완고한	
transfer,이동하다|옮기다	
glimmer,희미한 빛|희미하게 빛나다	
irrelevant,무관한	
discretion,신중함|재량권	
margin,여백|차이	
brief,간단한|짧은	
observe,관찰하다|준수하다	
diligent,부지런한|근면한	
debase,떨어뜨리다|저하시키다	
salary,급여|봉급	
promising,유망한	
internal,내부의	
commiserate,동정하다|위로하다	
crucial,결정적인	
facilitate,용이하게 하다	
strategy,전략	
preside,주재하다|사회하다	
extend,확장하다|연장하다	
quit,그만두다	
torture,고문|고문하다	
duress,강압	
prosaic,산문적인|평범한	
various,다양한	
glaring,눈에 띄는|명백한	
therefore,그러므로	
obsess,사로잡다|집착하다	
naturally,자연적으로|당연히	
prudent,신중한	
defeat,패배시키다|패배	
metaphor,은유	
parsimonious,인색한	
mortal,죽을 운명의|치명적인	
scheme,계획|책략	
refute,반박하다	
scene,장면|현장	
placid,평온한	
innovation,혁신	
shed,흘리다|버리다|헛간	
founder,설립자	
humble,겸손한	
offend,불쾌하게 하다|위반하다	
familiar,친숙한	
deluge,대홍수|범람시키다	
evoke,불러일으키다|환기시키다	
copy,복사하다|사본	
preserve,보존하다	
torrent,급류|격렬함	
diffident,소심한|자신 없는	
placid,평온한|침착한	
enormous,거대한|엄청난	
assimilate,동화시키다|흡수하다
inclement,험악한|춥고 궂은	
