spread,퍼지다|확산	
transform,변형시키다	
forge,위조하다|만들다	
bias,편견|성향	
disturb,방해하다	
compatible,양립 가능한|호환되는	
busy,바쁜	
emphasize,강조하다	
jargon,전문 용어	
remain,남아있다	
mundane,세속적인|평범한	
assess,평가하다	
liberty,자유	
tacit,암묵적인|무언의	
accident,사고	
overwhelm,압도하다	
abstruse,난해한|심오한	
profound,심오한	
philanthropic,자선적인|인도적인	
palliate,완화시키다	
opulent,부유한|호화로운	
anomaly,변칙|예외	
gingerly,조심스럽게	
foment,조장하다|선동하다	
boycott,불매 운동|거부하다	
ascribe,~의 탓으로 돌리다	
shoot,쏘다|촬영하다	
reverse,뒤집다|반대	
ambiguous,애매모호한	
enamor,매료시키다	
supplement,보충|보충하다	
otherwise,그렇지 않으면	
eliminate,제거하다	
survive,생존하다	
pensive,생각에 잠긴|수심에 찬	
phlegmatic,점액질의|냉정한	
warn,경고하다	
foray,습격|짧은 여행	
weapon,무기	
tribute,찬사|헌정	