input,입력|투입	
region,지역	
exist,존재하다	
strident,귀에 거슬리는|공격적인	
wisdom,지혜	
paradox,역설	
superfluous,불필요한|여분의	
worthwhile,가치 있는	
respect,존경하다|존경	
predicament,곤경|처지	
acquire,얻다|습득하다	
necessity,필수품|필요성	
iniquity,불법|부당	
interrupt,방해하다	
predict,예측하다	
derive,~에서 얻다|유래하다	
imperative,필수적인|긴요한	
worth,~의 가치가 있는	
venue,장소|개최지	
locate,위치를 찾다|두다	
abscond,도주하다	
strategic,전략적인	
dramatically,극적으로	
entry,입구|입장	
wisdom,지혜	
license,면허|허가하다	
escape,탈출하다	
intransigent,비타협적인|완고한	
transfer,이동하다|옮기다	
glimmer,희미한 빛|희미하게 빛나다	
irrelevant,무관한	
discretion,신중함|재량권	
margin,여백|차이	
brief,간단한|짧은	
observe,관찰하다|준수하다	
diligent,부지런한|근면한	
debase,떨어뜨리다|저하시키다	
salary,급여|봉급	
promising,유망한	
internal,내부의	