examine,검토하다|조사하다
deny,부인하다|거부하다
extract,추출하다|발췌하다
process,과정|처리하다
contemplate,심사숙고하다
exorbitant,과도한|터무니없는
humor,유머
constrain,강요하다|억제하다
passion,열정
stimulate,자극하다
borrow,빌리다 (사용자에게)
dichotomy,양분|이분법
relegate,좌천시키다|위탁하다
comfort,위로하다
safe,안전한
suggest,제안하다
distribute,분배하다
stolid,둔감한|무관심한
inferior,열등한
antithesis,정반대|대조
retrieval,회수|정보 검색
curious,호기심이 강한
fickle,변덕스러운
mistake,실수
celebrate,축하하다
haphazard,되는 대로의|무계획적인
onerous,부담스러운
wealth,재산|부
brawny,건장한|힘센
unusual,특이한|평소와 다른
invective,욕설|비난
defunct,현존하지 않는|죽은
script,대본
distinguish,구별하다
youth,젊음|청소년
frantic,광란의|제정신이 아닌
widen,넓히다
unprecedented,전례 없는
vow,맹세|맹세하다
earn,벌다|얻다