especially,특히
genuine,진짜의|성실한
continue,계속하다
behalf,~을 대신하여
durable,내구성이 있는
subject,주제|과목|대상
commit,저지르다|전념하다
conflict,갈등|충돌하다
prudent,신중한|현명한
eager,열렬한|간절히 바라는
latest,최신의
wreck,난파선|망가뜨리다
morose,시무룩한|침울한
judicious,현명한|분별력 있는
time,시간|시기
tread,밟다|걷다
denigrate,훼손하다|모욕하다
liable,~할 책임이 있는|~하기 쉬운
suspect,의심하다|용의자
surface,표면
ability,능력
balmy,온화한|향기로운
expedition,탐험|원정
ephemeral,덧없는|수명이 짧은
capture,붙잡다|포획
graduate,졸업하다
empathy,공감
allegiance,충성|헌신
express,표현하다
typical,전형적인
reinforce,강화하다
vanish,사라지다
alacrity,민첩함|활발함
quixotic,돈키호테식의|비현실적인
basic,기본적인
dismal,음침한|우울한
boisterous,시끄러운|떠들썩한
prevent,막다|예방하다
frivolous,경솔한|하찮은
disrupt,방해하다|붕괴시키다