malaise,불쾌감|막연한 불안
stagnant,정체된|활기 없는
vital,필수적인
explode,폭발하다
breathe,숨 쉬다
entire,전체의
lament,한탄하다|애도
prompt,즉각적인|촉구하다
secret,비밀의|비밀
sequence,연속|순서
arbitration,중재
inherent,내재하는
permanent,영구적인
shelter,피난처|숨겨주다
memorable,기억할 만한
block,블록|막다
pace,속도|걸음
environment,환경
eulogy,찬사|추도 연설
personal,개인의
fable,우화
organize,조직하다|정리하다
include,포함하다
arrange,배열하다|준비하다
cooperate,협력하다
terrestrial,지상의|육지의
intrusive,침입하는|방해하는
require,요구하다
recalcitrant,반항적인
assume,가정하다|추정하다
vehement,격렬한|맹렬한
amenity,편의 시설|쾌적함
increase,증가하다|증가
undertake,떠맡다|착수하다
form,형태|형성하다
emerge,나타나다|부상하다
transmit,전달하다|송신하다
immense,엄청난|거대한
appear,나타나다|~인 듯하다
interact,상호 작용하다