endure,견디다|참다
historic,역사적인
soporific,잠이 오게 하는
consecrate,신성하게 하다|봉헌하다
navigate,길을 찾다|항해하다
accord,일치|일치하다
refuge,피난처
despondent,낙담한|실의에 빠진
simulate,모의 실험하다|흉내내다
cynical,냉소적인
site,장소|부지
polemic,논쟁|논쟁술
recurrent,재발하는|되풀이되는
fortune,재산|운
sacrifice,희생하다|희생
deference,존경|경의
gullible,잘 속는
peril,위험
expound,상세히 설명하다
execute,실행하다|처형하다
extol,극찬하다
reprehensible,비난받아 마땅한
plausible,그럴듯한
withdraw,철회하다|인출하다
brave,용감한
lugubrious,침울한|애처로운
desecrate,신성 모독하다
reaction,반응
trivial,사소한
prescient,예지력 있는
prolific,다작의|풍부한
coherent,일관성 있는
moribund,죽어가는|소멸해 가는
stick,막대기|붙이다
ensure,보장하다
loquacious,말 많은
sloth,나태|게으름
impassioned,열정적인
whimsical,변덕스러운
investigate,조사하다