pertain,관련되다
available,이용할 수 있는
rarely,좀처럼 ~않는
income,수입
concern,관심사|걱정|관련시키다
court,법원|경기장
feral,야생의|길들여지지 않은
engender,발생시키다|야기하다
access,접근하다
aspect,측면|양상
statement,진술|성명
apology,사과
topic,주제
serious,심각한|진지한
venerate,존경하다
ceremony,의식|행사
cause,원인|야기하다
estimate,추정하다|추정치
query,질문|질문하다
succumb,굴복하다
obvious,분명한
shock,충격|충격을 주다
role,역할
pugnacious,호전적인
faith,신뢰|믿음
undergo,겪다|경험하다
yield,산출하다|양보하다
misnomer,오칭|부적절한 명칭
criterion,기준
blend,섞다|혼합
perilous,위험한
penchant,강한 경향|취미
priority,우선순위
consensus,의견 일치|합의
accountable,책임이 있는
veteran,베테랑|참전용사
unscrupulous,부도덕한|파렴치한
remediable,고칠 수 있는
insist,주장하다|고집하다
undermine,약화시키다