avow,공언하다|인정하다
recede,물러나다|약해지다
tightly,단단하게|엄격하게
timid,소심한|겁 많은
survival,생존
revenue,수입|수익
authentic,진정한|진짜의
transform,변형시키다
worry,걱정하다
negligent,태만한|부주의한
reform,개혁하다|개혁
trust,신뢰|신뢰하다
screen,화면|가리다
recant,철회하다|취소하다
complete,완전한|완료하다
mandatory,의무적인
certify,증명하다|인증하다
jealous,질투하는
compel,강요하다
delegate,대표|위임하다
reach,도달하다|닿다
safeguard,보호하다|안전장치
testify,증언하다
stay,머무르다
perplex,당혹하게 하다
maintain,유지하다|주장하다
allow,~을 허락하다
construct,건설하다
prominent,눈에 띄는|저명한
curious,호기심이 강한
obey,복종하다|따르다
succeed,성공하다
gravity,중력|심각성
witness,목격자|목격하다
legacy,유산
magnify,확대하다
surprise,놀라움
ameliorate,개선하다
docile,유순한|다루기 쉬운
notion,개념|생각