cajole,꼬드기다|설득하다
tempt,유혹하다
integrity,청렴|정직
utilize,활용하다
relate,관련시키다
withhold,보류하다|주지 않다
buttress,지지|지지하다
aberration,일탈|탈선
perfunctory,형식적인|의무적인
citizen,시민
incredulous,믿지 못하는
lead,이끌다|선두
divulge,누설하다|폭로하다
bomb,폭탄|폭격하다
distance,거리
rancor,원한|악의
widespread,광범위한
assault,폭행|공격하다
haggard,초췌한|지친
print,인쇄하다
schedule,일정|계획하다
break,깨다|휴식
collapse,붕괴하다|무너지다
sarcasm,비꼬는 말|풍자
ashamed,부끄러워하는
encounter,만남|마주치다
impecunious,가난한|무일푼의
cater,음식을 제공하다|요구를 들어주다
jaded,지친|싫증난
chicanery,속임수|교활한 수법
advance,전진하다|발전
infuriate,격분시키다
pedantic,지나치게 학문적인|현학적인
assemble,모으다|조립하다
senator,상원의원
impetuous,성급한|충동적인
oppose,반대하다
fee,요금|수수료
simple,간단한
establish,설립하다
