appease,달래다|진정시키다
turn,돌다|차례
redundant,불필요한|정리해고된
exact,정확한
indemnify,배상하다|보상하다
baffle,당황하게 하다
meticulous,세심한|꼼꼼한
rough,거친|대략적인
risk,위험|위험을 감수하다
brittle,부서지기 쉬운
resign,사임하다
stabilize,안정시키다
embrace,포옹하다|받아들이다
guarantee,보증하다|보증
identify,식별하다|동일시하다
issue,문제|발행하다
careful,주의 깊은
available,이용 가능한
initial,처음의|초기의
distraught,정신이 혼란한|괴로운
award,상|수여하다
precede,앞서다|선행하다
indolent,게으른
analyze,분석하다
immediately,즉시
cynicism,냉소주의
local,지역의
fortuitous,우연한
plethora,과잉
paragon,모범|귀감
transparent,투명한
dismantle,해체하다|분해하다
proliferate,증식하다|번성하다
matter,문제|중요하다
foster,육성하다|촉진하다
equitable,공정한|공평한
thrive,번성하다|성장하다
subsequent,차후의|다음의
jurisdiction,관할권
significant,중요한|상당한