feasible,실현 가능한
taciturn,말없는
character,성격|등장인물
negative,부정적인
contemporary,현대의|동시대의
homogenous,동종의|균일한
banish,추방하다
potential,잠재적인|잠재력
incite,선동하다|자극하다
eligible,자격이 있는
revenue,수익
precious,귀중한
steep,가파른
impose,부과하다|강요하다
origin,기원|출처
suppose,가정하다|추측하다
opportunity,기회
advocate,옹호하다|지지하다
exonerate,면제하다|무죄임을 밝혀주다
executive,경영진|행정부의
ubiquitous,어디에나 있는
intensive,집중적인
glance,흘긋 보다|흘긋 봄
indefatigable,지칠 줄 모르는
autonomy,자율|자치
spurious,가짜의
population,인구
introduce,소개하다
cogent,설득력 있는
save,구하다|저축하다
integrity,진실성|정직
complacent,자기 만족적인
petty,사소한|하찮은
denote,나타내다|의미하다
exotic,이국적인|별난
raucous,소란스러운|귀에 거슬리는
dubious,의심스러운|미심쩍은
exploit,착취하다|이용하다|업적
originate,시작되다|유래하다
title,제목|직함