auspicious,길조의|상서로운
innocence,순수|무죄
inscrutable,헤아리기 어려운|수수께끼 같은
elusive,잡기 어려운|규정하기 어려운
predilection,선호|편애
felicitous,절묘하게 적절한|경사스러운
dissipate,흩어지게 하다|낭비하다
informal,비공식적인
portent,징조|전조
furtive,은밀한|훔쳐보는
judicious,현명한|분별력 있는
rigid,엄격한|단단한
abolish,폐지하다
pressure,압력|압박
majority,대다수
dispel,떨쳐 버리다|없애다
try,노력하다|시도하다
reflect,반영하다|반사하다
staff,직원
rational,합리적인
vapid,지루한|생기 없는
appall,오싹하게 하다|경악시키다
transcend,초월하다
weird,이상한
candid,솔직한
comprehensive,종합적인
garrulous,수다스러운
revoke,취소하다|폐지하다
fashion,유행|패션
prosper,번영하다
protect,보호하다
calm,차분한|고요한
insidious,교활한|음흉한
talent,재능
steadfast,확고한|변치 않는
halt,멈추다|정지
negotiate,협상하다
paragon,모범|귀감
narrative,이야기|서술
derelict,버려진|직무 태만의