punish,벌주다
flamboyant,화려한|눈에 띄는
obliterate,지우다|흔적을 없애다
abjure,맹세하고 버리다
agree,동의하다
vicious,잔인한|악랄한
resist,저항하다
elegant,우아한
random,무작위의
harbor,항구|숨겨주다
profit,이익|수익
stigma,오명|낙인
participate,참여하다
effrontery,뻔뻔스러움
truth,진실
leisure,여가
deprive,박탈하다|빼앗다
keen,열렬한|예리한
create,창조하다
hostile,적대적인
lack,부족|부족하다
final,최종의
persuade,설득하다
serene,평온한|고요한
outcome,결과
mood,기분
transact,거래하다
hardly,거의 ~않다
casual,평상시의|격식 없는
humiliate,굴욕감을 주다
resolve,해결하다|결심하다
transport,수송하다
detract,손상시키다|평판을 떨어뜨리다
exigent,절박한|긴급한
assign,할당하다
fuel,연료
isolation,고립
search,검색하다|수색
headache,두통
secure,안전한|확보하다
