recognize,인식하다|알아보다
doubt,의심하다
counselor,상담가
approach,접근하다|접근법
rescind,취소하다|폐지하다
jocose,익살맞은|농담하는
corrupt,부패한|부패시키다
depreciate,가치가 떨어지다
disease,질병
tactical,전술적인
ascend,오르다
transient,일시적인|덧없는
contend,다투다|주장하다
plain,분명한|평범한
inhibit,억제하다|금지하다
decisive,결정적인|결단력 있는
partition,분할|분할하다
respond,응답하다
respectful,존경심을 보이는
grant,승인하다|보조금
wistful,애석해하는|그리워하는
abbreviate,줄여 쓰다|약자로 하다
jovial,쾌활한|명랑한
duty,의무
analogy,유추|비교
sensory,감각의
inadvertent,고의가 아닌|부주의한
oppress,억압하다
jeopardize,위태롭게 하다
sponsor,후원자|후원하다
unable,~할 수 없는
experiment,실험|실험하다
silence,침묵|침묵시키다
intimidate,위협하다
utility,유용성|공익사업
rush,서두르다|돌진
strive,노력하다|분투하다
ruin,망치다|파멸
policy,정책
barren,불모의|메마른