vary,다르다|변화하다
science,과학
enable,~할 수 있게 하다
propensity,경향|성향
flamboyant,화려한|과시적인
mislead,오도하다|잘못 인도하다
condemn,비난하다|선고하다
command,명령하다|지휘하다
return,돌아오다|돌려주다
habitat,서식지
improve,개선하다
latent,잠재적인|숨어 있는
attain,달성하다|이루다
climate,기후
civilize,문명화하다
valid,유효한|타당한
numerous,수많은
quixotic,돈키호테식의|비현실적인
regard,간주하다|존중
relegate,좌천시키다
area,지역|영역
inadvertent,고의가 아닌|부주의한
impending,임박한
explore,탐험하다
communicate,소통하다
guarantee,보장하다|보증
effort,노력
identify,확인하다|정체를 밝히다
verbose,장황한
perjure,위증하다
confine,국한시키다|가두다
result,결과|결과로 생기다
integrate,통합하다
vapid,지루한|생기 없는
particular,특정한
pattern,패턴|양식
fundamental,근본적인|기본적인
deride,조롱하다
terrible,끔찍한
labor,노동|노동하다