jocose,익살맞은|농담하는
analyze,분석하다
seek,찾다|추구하다
budget,예산
devastate,황폐시키다|압도하다
superior,우월한|상사
health,건강
technology,기술
destitute,궁핍한|빈곤한
assume,추정하다|가정하다
proud,자랑스러운
nefarious,사악한|극악한
period,기간|시기
liberal,자유주의의|관대한
due,마감 기한인|~때문에
flow,흐름|흐르다
warn,경고하다
congenial,마음이 맞는|친근한
prudent,신중한
external,외부의
circumspect,신중한
panacea,만병통치약
usurp,강탈하다|찬탈하다
initial,처음의|초기의
spirit,정신|영혼
nationwide,전국적인
sure,확실한
ascetic,금욕적인
draft,초안|징병하다
weather,날씨
bureaucracy,관료 제도
impede,방해하다|저해하다
encounter,마주치다|만남
officious,참견하기 좋아하는
surmise,추측|추측하다
deeply,깊이
fund,자금|자금을 대다
feature,특징|특징으로 하다
trap,함정|가두다
pain,고통