sophisticated,정교한|세련된
withdraw,철회하다|인출하다
susceptible,~에 취약한|영향을 받기 쉬운
necessary,필요한
poison,독|독살하다
perennial,영원한|지속적인
staggering,믿기 어려운|충격적인
indigenous,토착의|고유의
vulnerable,취약한
informal,비공식적인
realistic,현실적인
habit,습관
deplete,고갈시키다|다 써버리다
impart,전달하다|알려주다
sullen,시무룩한|음침한
sentient,감각 있는|지각 있는
devise,고안하다|궁리하다
phenomenal,경이적인
intransigent,비타협적인|완고한
quality,품질
hesitate,망설이다
station,역|방송국
desolate,황량한|쓸쓸한
virtuoso,대가|거장
waste,낭비하다|쓰레기
liberal,자유주의의|관대한
abstain,삼가다|기권하다
subject,주제|과목|대상
average,평균의|평균
lobby,로비|로비 활동을 하다
disappoint,실망시키다
retreat,후퇴하다|은퇴
impunity,처벌을 면함
consume,소비하다
prosper,번영하다
genius,천재
insolent,무례한|건방진
arcane,비밀의|난해한
cl리어
destitute,궁핍한|극빈한