universe,우주
inquire,묻다|조사하다
tranquil,평온한|고요한
rule,규칙|지배하다
highlight,강조하다|하이라이트
tough,힘든|강인한
alleviate,완화하다|경감하다
series,연속|시리즈
deceive,속이다
design,디자인하다|디자인
waste,낭비|쓰레기
emulate,모방하다|경쟁하다
regret,후회하다
blight,망치다|병충해
encroach,침해하다|잠식하다
discover,발견하다
mind,마음|꺼리다
pursue,추구하다|쫓다
loyal,충성스러운
reliable,신뢰할 수 있는
mediate,중재하다
juncture,시점|접합점
rural,시골의|전원적인
perfidious,배신하는|불성실한
accept,받아들이다|수락하다
recant,철회하다
accumulate,축적하다
homogeneous,동종의
remedy,치료법|개선하다
traffic,교통
reserve,예비|예약하다
rhetorical,수사적인
remote,먼|외딴
ordinary,평범한
evolve,진화하다
compose,구성하다|작곡하다
manufacture,제조하다
visible,보이는
participate,참여하다
education,교육
