harm,해치다|손해
obsequious,아첨하는|굽실거리는
preposterous,터무니없는
accommodate,수용하다|편의를 제공하다
isolate,고립시키다
scrutinize,면밀히 조사하다
dominate,지배하다
candidate,후보자
cajole,꼬드기다|설득하다
research,연구|연구하다
condescend,겸손하게 굴다|생색내다
finance,재정|자금을 대다
commit,저지르다|전념하다
level,수준|단계
chasm,깊은 틈|큰 차이
reiterate,반복하다
corroborate,확증하다
deliberate,신중한|고의적인
rhetoric,수사학|미사여구
meanwhile,그러는 동안에
stipulate,규정하다|명시하다
theory,이론
prescribe,처방하다|규정하다
vast,광대한|엄청난
journal,일기|잡지
notice,알아차리다|공지
envision,마음속에 그리다|상상하다
deficiency,결핍|부족
erode,침식시키다
transparent,투명한|명백한
spectacular,장관의|화려한
gregarious,사교적인
coincidence,우연의 일치
disparage,폄하하다|비난하다
esoteric,난해한|소수만 아는
legitimate,합법적인|정당한
rare,희귀한
precious,귀중한
start,시작하다
eject,쫓아내다|분출하다