eager,열렬한
chastise,꾸짖다|징벌하다
shrewd,영리한|기민한
definitely,분명히|확실히
difficult,어려운
tough,힘든|단단한
challenge,도전|도전하다
consult,상담하다
satellite,위성
detain,구금하다|붙들다
stress,스트레스|강조하다
whirlwind,회오리바람|정신없이 빠른
logic,논리
suppress,억압하다|진압하다
gratuitous,불필요한|무료의
genial,친절한|상냥한
accusation,비난|고발
dogmatic,독단적인
wherever,어디든지
surpass,능가하다
authorize,권한을 부여하다
radical,급진적인|근본적인
neutral,중립적인
feign,~인 체하다
cogitate,숙고하다|생각하다
mess,엉망|혼란
obsequious,아첨하는
urgent,긴급한
establish,설립하다|확립하다
vociferous,소리 높여 외치는
capacity,수용력|능력
yearn,열망하다|그리워하다
quell,진압하다|가라앉히다
initiate,시작하다|착수하다
flaunt,과시하다
consider,고려하다
possible,가능한
cite,인용하다
proclaim,선언하다
citizen,시민