omission,생략|누락
zone,지역|구역
review,검토하다|논평
torpid,무기력한|활발하지 못한
variable,변수|변하기 쉬운
shift,변화|이동하다
vitriolic,신랄한|통렬한
operate,작동하다|수술하다
exculpate,무죄를 선언하다
predict,예측하다
provide,제공하다
designate,지정하다|지명하다
nominate,지명하다|후보로 올리다
disagree,동의하지 않다
declare,선언하다
restrain,억제하다
insinuate,넌지시 비치다|암시하다
track,경로|추적하다
prosaic,평범한|지루한
surplus,나머지|잉여
admit,인정하다|입장시키다
constant,끊임없는
garrulous,수다스러운
permit,허락하다|허가증
fear,두려움|두려워하다
persuade,설득하다
vessel,선박|용기|혈관
blatant,노골적인|뻔한
precocious,조숙한
spurious,가짜의|위조의
poignant,가슴 아픈|감동적인
discipline,규율|징계
obdurate,고집 센|완고한
insurance,보험
probable,있을 법한
retain,보유하다|유지하다
invidious,불쾌감을 주는|부당한
judgement,판단
morality,도덕성
magical,마법의