academic,학문적인
progress,진보|진전하다
overlook,간과하다|내려다보다
efficacy,효능|효과
reject,거절하다
entirely,완전히
compromise,타협|타협하다
egregious,지독한|터무니없는
wonder,궁금해하다|경이
subsidize,보조금을 지급하다
ostentatious,과시하는|화려한
feign,~인 체하다
weaken,약화시키다
diminish,줄이다|감소시키다
punctilious,꼼꼼한|격식에 치우친
encompass,포함하다|둘러싸다
capricious,변덕스러운
vogue,유행
patient,환자|인내심 있는
obligation,의무
permanent,영구적인
seize,붙잡다|점령하다
accountant,회계사
contravene,위반하다|모순되다
lend,빌려주다
upload,업로드하다
expert,전문가
route,경로|노선
atrophy,위축|쇠퇴하다
robust,튼튼한|강건한
owner,주인
generate,생성하다|만들어내다
sequence,연속|순서
reckon,계산하다|생각하다
impressive,인상적인
tremendous,엄청난
articulate,명확하게 표현하다
eerie,으스스한|섬뜩한
session,기간|회의
reverse,뒤집다|반대
