arise,발생하다|생기다
defend,방어하다
statistics,통계
persuade,설득하다
furnish,제공하다|가구를 비치하다
wound,상처|상처를 입히다
willing,기꺼이 하는
apposite,적절한
supplementary,보충하는
dimension,차원|측면
regular,규칙적인
keen,열망하는|날카로운
force,힘|강요하다
ultimate,궁극적인|최후의
remember,기억하다
intricate,복잡한|뒤얽힌
confirm,확인하다
decade,10년
undulate,물결치다|기복이 있다
fulfill,이행하다|성취하다
dull,지루한|둔한
allocate,할당하다|배분하다
flourish,번성하다
embarrass,당황하게 하다
resemble,~와 닮다
retain,보유하다|유지하다
fiasco,대실패
correct,정확한|고치다
suspend,매달다|중단하다
peruse,정독하다
major,주요한|전공
impassioned,열정적인
cope,대처하다|극복하다
peace,평화
compensate,보상하다
state,상태|국가|진술하다
complex,복잡한
fathom,헤아리다|깊이
join,참가하다|연결하다
mirth,환희|즐거움