obtain,얻다|획득하다
meticulous,꼼꼼한|세심한
security,보안|안전
structure,구조|건축물
universal,보편적인
solemn,엄숙한|진지한
jettison,버리다|폐기하다
reply,응답하다|응답
obsolete,시대에 뒤떨어진
substance,물질|본질
salient,가장 중요한|현저한
strength,힘|강점
digress,옆길로 새다
honor,명예|존경하다
occasionally,때때로
aplomb,침착함|평정
descend,내려가다|하강하다
inquire,묻다|조사하다
expedite,신속히 처리하다
anathema,저주|혐오스러운 것
perplex,당황하게 하다
languish,쇠약해지다|시들해지다
owe,~에게 빚지다
identify,식별하다|동일시하다
attempt,시도하다|시도
sardonic,냉소적인
diverse,다양한
attach,붙이다|첨부하다
source,출처|근원
portion,부분|몫
build,짓다|건설하다
ardent,열렬한|열심인
energy,에너지
euphemism,완곡 어법
ruminate,심사숙고하다
irrevocable,돌이킬 수 없는
intervene,개입하다
arbitrary,임의적인|자의적인
befall,닥치다|일어나다
relation,관계