illustrate,설명하다|삽화를 넣다
virtual,가상의|사실상의
impeccable,흠 잡을 데 없는
household,가정|가정의
eclectic,절충적인|다방면의
therefore,그러므로
private,사적인|개인의
adjust,조정하다
depict,묘사하다
speech,연설|말
clarify,명확하게 하다
common,흔한|공통의
disparate,서로 다른|이질적인
debate,토론|논쟁
paradox,역설
choice,선택
mode,방식|양식
furthermore,게다가
elicit,끌어내다
indeed,정말로|실제로
ubiquitous,어디에나 있는
ratify,비준하다|승인하다
cliché,진부한 표현
abandon,버리다|포기하다
landscape,풍경
enigma,수수께끼
conclude,결론 내리다
extravagant,낭비하는|과도한
likewise,마찬가지로
radical,급진적인|근본적인
jovial,쾌활한
evasive,회피적인
gender,성별
flout,경멸하다|무시하다
contract,계약|수축하다
turbulent,격동하는|사나운
modern,현대의
abroad,해외로
relevant,관련된
maverick,독립적인 사람|독불장군