invent,발명하다
opinion,의견
allure,매력|유혹하다
provoke,유발하다|화나게 하다
scholar,학자
special,특별한
efficacy,효능|효과
literally,글자 그대로|정말로
disarray,혼란|무질서
transfer,이동하다|이전
access,접근|입장
mature,성숙한|익다
replace,대체하다
polemic,논쟁
malice,악의|적의
settle,정착하다|해결하다
incline,~하는 경향이 있다|경사
furtive,은밀한
intensify,강화하다
essential,필수적인
luck,운
audacious,대담한
symptom,증상
refute,반박하다
obstacle,장애물
refine,정제하다|개선하다
knowledge,지식
ridiculous,우스꽝스러운
scintillating,번뜩이는|재치 있는
disguise,변장하다|숨기다
exclude,제외하다
momentum,탄력|추진력
atmosphere,대기|분위기
subjugate,정복하다|복종시키다
decorum,단정함|예의
difference,차이
depravity,타락|부패
notify,통지하다|알리다
levy,징수하다|세금
ineffable,형언할 수 없는
