involve,수반하다|관련시키다
fluctuate,변동하다
hypothesize,가설을 세우다
ironic,반어적인
freedom,자유
logic,논리
interest,흥미|이익
precise,정확한
promote,촉진하다|승진시키다
justify,정당화하다
lucrative,수익성이 좋은
grim,엄격한|암울한
stretch,늘리다|뻗다
support,지지하다|지원
ongoing,진행 중인
eclectic,절충적인|다방면에 걸친
initial,처음의|초기의
threat,위협
patrol,순찰하다|순찰대
reside,거주하다
adulterate,불순물을 섞다
importance,중요성
vicious,잔인한|악랄한
urbane,세련된|점잖은
languish,쇠약해지다|시들해지다
vindicate,정당성을 입증하다|옹호하다
hinder,방해하다|저해하다
represent,대표하다|나타내다
timorous,겁 많은
message,메시지
indict,기소하다
lament,한탄하다|애도하다
rumor,소문
branch,가지|지점
argue,주장하다|논쟁하다
contempt,경멸|멸시
petulant,성미 급한|까다로운
mendacious,허위의|거짓의
obstinate,완고한|고집 센
exotic,이국적인|특이한