headquarters,본부
exhaust,지치게 하다|다 써버리다
confront,직면하다
pragmatic,실용적인
mercurial,변덕스러운|활발한
prove,증명하다
position,위치|자리
spark,불꽃|촉발하다
locate,위치를 찾다|두다
species,종
mix,섞다
intellect,지성
forever,영원히
cover,덮다|표지
decipher,해독하다
credit,신용|공로
ebullient,활기 넘치는
bounty,포상금|관대함
damage,손해|손상시키다
inherit,상속받다
release,풀어주다|석방
ignore,무시하다
technical,기술적인
resource,자원
envisage,마음속에 그리다|예상하다
volatile,변동성이 심한
velocity,속도
plant,식물|심다|공장
reproach,비난|책망하다
dismiss,묵살하다|해고하다
allege,주장하다|단언하다
cast,던지다|배역
injure,부상을 입히다
support,지지하다|후원
excellent,훌륭한
soporific,잠이 오게 하는
broad,폭넓은|광범위한
archieve,기록 보관소|보관하다
collateral,담보물|부차적인
incessant,끊임없는