convince,설득하다
receive,받다
inept,서투른|부적절한
rescue,구조하다|구조
bland,싱거운|특징 없는
regularly,규칙적으로
haughty,오만한|거만한
indigenous,토착의|고유의
circulate,순환하다|유포하다
further,더 멀리|더 이상의
minimize,최소화하다
oblivious,염두에 두지 않는|망각하는
dedicate,헌신하다|바치다
dissolve,녹이다|해산하다
blame,비난하다|책망
guess,추측하다|추측
aspirant,열망하는 사람|지원자
expect,기대하다|예상하다
unruly,다루기 힘든|무법의
apocryphal,출처가 의심스러운
committee,위원회
reciprocal,상호 간의
sum,합계
tenuous,미약한|얇은
segment,부분|조각
suit,적합하다|정장
total,총계|전체의
concentrate,집중하다
agent,대리인|요원
oblivious,염두에 두지 않는|망각하는
rife,가득한|유행하는
wage,임금|급여
succeed,성공하다|뒤를 잇다
nebulous,막연한|흐릿한
vital,필수적인|활력 있는
vibrant,활기찬|선명한
procure,얻다|획득하다
array,배열|정렬시키다
overlap,겹치다|중복
efficient,효율적인