innocuous,무해한
breath,숨|호흡
utilize,활용하다
abeyance,중지|정지
eloquent,웅변적인|설득력 있는
concord,일치|조화
refer,언급하다|참조하다
nonetheless,그럼에도 불구하고
train,훈련시키다|기차
conduct,수행하다|행동
mutual,상호의
overcome,극복하다
advocate,옹호하다|지지자
slope,경사|경사지다
imply,함축하다|암시하다
hypothetical,가정의|가설의
hypothetical,가정의|가설의
pursue,추구하다|쫓다
assuage,달래다|완화시키다
adventure,모험
perceive,인지하다|인식하다
educate,교육하다
toward,~을 향하여
welcome,환영하다
monitor,모니터|감시하다
reason,이유|이성
languid,나른한|활기 없는
severe,심각한|가혹한
balance,균형
noble,고결한|귀족의
casualty,사상자|희생자
immediate,즉각적인
reserve,예약하다|보류하다
wary,경계하는
whereas,~인 반면에
view,관점|경치|보다
disseminate,퍼뜨리다|전파하다
rigid,엄격한|단단한
judge,판단하다|판사
firm,단단한|회사