panel,패널|토론단
argue,논쟁하다
opulence,부유함|풍부함
limit,제한|제한하다
physical,신체의|물리적인
intrepid,용감무쌍한
eccentric,별난|괴짜
somehow,어떻게든
maximize,극대화하다
deduct,공제하다
urge,촉구하다|충동
previous,이전의
custom,관습|습관
general,일반적인|전체의
advice,조언
reverent,경건한|존경하는
novice,초심자|풋내기
reserve,예비|예약하다
constitute,구성하다
accurate,정확한
lurid,야한|끔찍한
idiosyncrasy,특이한 성격|특이한 행동
range,범위
evidence,증거
attractive,매력적인
spartan,검소한|엄격한
apologize,사과하다
motion,움직임|동의
erratic,불규칙한|변덕스러운
amity,친목|우호 관계
mental,정신의
alter,변경하다
trepidation,공포|전율
submissive,복종하는
oscillate,진동하다|흔들리다
compare,비교하다
recover,회복하다|되찾다
literacy,읽고 쓰는 능력
curb,억제하다|구속
recession,경기 침체