skill,기술|능력
esoteric,비밀의|난해한
drama,극|드라마
danger,위험
belong,~에 속하다
endorse,지지하다|배서하다
hesitate,망설이다
appropriate,적절한
proportion,비율
implement,실행하다|도구
tentative,잠정적인|주저하는
elicit,끌어내다
decide,결정하다
paucity,부족
chaos,혼란
dispatch,급파하다|파견하다
mission,임무
orthodox,정통의|전통적인
courage,용기
range,범위|다양성
strange,이상한|낯선
luxury,사치
abound,풍부하다|가득하다
despite,~에도 불구하고
scrutiny,정밀 조사
toxic,유독한
sparse,드문|희박한
awful,끔찍한
loquacious,말 많은
trite,진부한|흔해 빠진
parochial,편협한|지방적인
emaciated,수척한|쇠약해진
clemency,관용|자비
elucidate,설명하다|명료하게 하다
either,둘 중 하나의
arrive,도착하다
mild,온화한|순한
awkward,어색한
gradually,점차적으로
derision,조롱|비웃음
