shadow,그림자|미행하다
delineate,묘사하다|윤곽을 그리다
corporate,기업의
incorporate,통합하다
approve,찬성하다|승인하다
intermittent,간헐적인
cordial,진심 어린|따뜻한
edit,편집하다
describe,묘사하다
ostensible,표면상의|겉보기만의
mitigate,완화시키다
absence,결석|부재
mollify,달래다|진정시키다
candid,솔직한
poignant,가슴 아픈|감동적인
aptitude,적성|소질
devote,헌신하다|바치다
incredible,믿을 수 없는|놀라운
theory,이론
insatiable,만족할 줄 모르는
pertinent,관련된|적절한
question,질문하다|문제
serve,제공하다|봉사하다
explain,설명하다
comply,준수하다|따르다
reconcile,화해시키다|조화시키다
interrogate,심문하다
adopt,채택하다|입양하다
triumph,승리|승리하다
restrict,제한하다
surround,둘러싸다
lethargic,무기력한
material,재료|물질
misanthrope,인간 혐오자
minor,사소한|미성년자
illicit,불법적인
scare,겁주다|두려움
conserve,보존하다
detrimental,해로운|손해를 입히는
acknowledge,인정하다|승인하다