issue,문제|쟁점|발행하다
instead,대신에
nation,국가|국민
transient,일시적인|덧없는
paucity,소수|부족
spontaneous,자발적인|즉흥적인
hasty,성급한
tangible,만질 수 있는|실재하는
orthodox,정통의|전통적인
transport,수송하다|교통
share,공유하다|몫
discuss,토론하다
terminal,종점|말기의
ratify,비준하다|승인하다
equivocate,얼버무리다|모호하게 말하다
terse,간결한|퉁명스러운
verbose,장황한
recommend,추천하다
economy,경제
fragment,조각|파편
profound,심오한|깊은
disclose,폭로하다
expert,전문가
indolent,게으른
truculent,공격적인|잔혹한
falter,흔들리다|비틀거리다
lugubrious,침울한|애처로운
hereditary,유전적인
preliminary,예비의|사전의
obscure,모호한|숨기다
vulnerable,취약한
coalition,연합
sustain,지탱하다|유지하다
vast,광대한
benevolent,자비로운|자애로운
movement,움직임|운동
depart,떠나다|출발하다
public,대중의|공공의
sycophant,아첨꾼
intention,의도