palpable,손에 만져질 듯한|명백한
vehicle,차량|탈것
defiance,도전|반항
undulate,물결치다
rueful,후회하는|슬픔에 잠긴
belligerent,호전적인|전쟁 중인
occasion,경우|특별한 행사
domestic,국내의|가정의
nurture,양육하다|육성하다
shame,수치심|부끄러움
jettison,버리다|폐기하다
seek,찾다|추구하다
reveal,드러내다
expand,확장하다
stature,키|위상
annuity,연금
nuclear,핵의
charge,요금|책임|충전하다
power,힘|권력
apathy,무관심
render,제공하다|만들다
ruminate,심사숙고하다
drastic,과감한|극단적인
quota,할당량
toll,통행료|사상자 수
conjecture,추측|추정
voice,목소리
team,팀
calamity,재앙|불행
repudiate,거부하다
extemporaneous,즉흥적인
amalgamate,합병하다|혼합하다
monotonous,단조로운|지루한
chronic,만성적인
object,물체|반대하다
wander,헤매다|방황하다
history,역사
contain,포함하다
sanction,제재|승인하다
associate,연관시키다|동료