engage,참여하다|약혼하다
phenomenon,현상
impervious,영향을 받지 않는
launch,시작하다|발사하다
merely,단지|그저
straight,곧장|곧은
surreptitious,은밀한|비밀의
sedulous,근면한
report,보고하다|보고서
maverick,독불장군|독립적인 사람
complain,불평하다
profession,직업
humane,인도적인
gauge,측정하다|게이지
entail,수반하다
institute,기관|설립하다
plenty,풍부함
escalate,확대되다|증가하다
fallacy,오류|잘못된 생각
aware,알고 있는
norm,규범|기준
privilege,특권
plaintive,구슬픈|슬픈
outcome,결과
administration,관리|행정
positive,긍정적인
overall,전반적인|총체적인
whimsical,변덕스러운|엉뚱한
dissent,반대|반대하다
request,요청하다|요청
reveal,드러내다|폭로하다
talent,재능
volume,부피|책
acumen,통찰력|재능
indicate,나타내다|지적하다
exceed,초과하다
mention,언급하다
suggest,제안하다|암시하다
marginal,주변적인|미미한
insight,통찰력
