involve,수반하다|참여시키다
campaign,캠페인|운동
perfect,완벽한|완벽하게 하다
hazard,위험
global,세계적인
indispensable,필수 불가결한
task,과제|임무
alarm,경보|놀라게 하다
guilty,유죄의|죄책감을 느끼는
replete,가득한|충분한
plain,평범한|명백한|평야
individual,개인|개인의
resplendent,화려한|눈부신
minority,소수
hypocrisy,위선
consent,동의|동의하다
fiction,소설|허구
elect,선출하다
project,계획|예상하다
adapt,적응시키다|각색하다
convenience,편리|편의
responsibility,책임
consistent,일관된
slight,약간의|무시하다
moderate,적당한|온건한
adequate,적절한|충분한
dormant,휴면 중인|잠재적인
image,이미지|인상
violate,위반하다
pacify,진정시키다|달래다
tendency,경향
deposit,보증금|예금하다
facility,시설|편의
refer,언급하다|참조하다
activate,활성화하다
instruct,가르치다|지시하다
worker,노동자
persist,지속하다|고집하다
resume,재개하다|이력서
media,매체