hostage,인질
gain,얻다|이익
assure,확신시키다
bizarre,기괴한|이상한
client,고객
terminate,종료하다
apply,신청하다|적용하다
cease,중단하다
speculate,추측하다|투기하다
solicit,간청하다|요청하다
wrath,분노|격노
ignominy,불명예|치욕
authority,권위|당국
profligate,낭비하는|방탕한
scrutinize,면밀히 조사하다
venture,모험|과감히 하다
fawning,아첨하는
inflict,가하다|괴로움을 주다
surge,급증|밀려들다
precise,정확한
usual,보통의|평소의
rational,합리적인
mystery,수수께끼
manner,방식|태도
saccharine,지나치게 달콤한
ominous,불길한|전조의
corporate,기업의
omit,생략하다|빠뜨리다
assist,돕다
imitate,모방하다
supervise,감독하다
reflect,반영하다|심사숙고하다
devour,게걸스럽게 먹다|집어삼키다
sole,유일한|혼자의
bother,괴롭히다|신경 쓰게 하다
strike,치다|파업
bound,묶인|경계
equal,동등한|같은
environment,환경
perplex,당혹하게 하다