method,방법
brevity,간결함
devout,독실한|헌신적인
invective,욕설|비난
interpret,해석하다|통역하다
develop,발달시키다|개발하다
connect,연결하다
social,사회적인
upbraid,꾸짖다|질책하다
revision,수정|개정
perhaps,아마도
relief,안도|구조
hackneyed,진부한
aggravate,악화시키다|화나게 하다
industry,산업
nondescript,특징 없는|평범한
excuse,변명|용서하다
deteriorate,악화되다
perilous,위험한
praise,칭찬하다|칭찬
rude,무례한
stock,재고|주식
dispel,떨쳐 버리다|없애다
aesthetic,미적인|심미적인
tension,긴장
pensive,수심에 잠긴|생각에 잠긴
imagine,상상하다
layer,층
divide,나누다
immutable,불변의|변할 수 없는
intermittent,간헐적인
core,핵심|중심
law,법
differentiate,구별하다|차별화하다
sublime,숭고한|최고의
amend,개정하다|수정하다
status,지위|상태
repudiate,거부하다|부인하다
basis,기초|근거
author,작가