cynic,냉소적인 사람
mediate,중재하다
coincide,일치하다|동시에 일어나다
accede,동의하다|취임하다
innocent,순진한|무죄의
arbitrate,중재하다
dominant,지배적인
natural,자연의
anniversary,기념일
massive,거대한|대규모의
licentious,방탕한|음란한
promote,촉진하다|승진시키다
quash,진압하다|무효화하다
maintain,유지하다|주장하다
discipline,규율|훈련
malign,비방하다|해로운
affect,영향을 미치다
tolerance,관용|내성
debris,잔해|쓰레기
struggle,투쟁하다|노력하다
implicate,관련시키다|연루시키다
useful,유용한
laud,칭찬하다|찬양하다
fulsome,지나친|역겨운
anxiety,불안|걱정
duplicate,복사하다|사본
navigate,길을 찾다|항해하다
destination,목적지
skillful,숙련된
compile,편집하다|수집하다
violence,폭력
prognosticate,예언하다|예측하다
abduct,유괴하다
exquisite,정교한|매우 아름다운
qualify,자격을 주다|제한하다
plight,곤경
touch,만지다|접촉
adolescent,청소년
threshold,문턱|시작점
fail,실패하다
